1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products
O=C(O)CSc1nnc2ccccn12,C(=Cc1ccccc1)CNc1ccc2c(c1)OCCO2,Amidation,,,,x1594_0A-x1919_0A_458-I,20240926,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x1919_0A,CNWPALYVYUTREN-UHFFFAOYSA-N,596,14.0,9.0,fqsn5i,O=C(CSc1nnc2ccccn12)N(CC=Cc1ccccc1)c1ccc2c(c1)OCCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,0123,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/CNWPALYVYUTREN-UHFFFAOYSA-N/CNWPALYVYUTREN-UHFFFAOYSA-N_fqsn5i_to_hippo.pkl.gz,14.0,6.0
Cc1ccc2nnc(CN)n2c1,CC(F)(F)CCCCS(=O)(=O)Cl,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1594_0A-x1140_0A_486-I,20240929,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1594_0A,D68EV3CPROA-x1140_0A,LSSTYAVTWNOHNV-UHFFFAOYSA-N,627,,,jbgqoB,Cc1ccc2nnc(CNS(=O)(=O)CCCCC(C)(F)F)n2c1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1140_0A_apo-desolv.pdb,0010,,,
NCCc1nnc2ccccn12,Cc1cc2c(cc1N)OCO2,Formation_of_urea_from_two_amines,,,,x1140_0A-x1594_0A_69-P,20240925,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1594_0A,PCWLLOFUHNYYRG-UHFFFAOYSA-N,0,1082.0,348.0,qjcD7n,Cc1cc2c(cc1NC(=O)NCCc1nnc3ccccn13)OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1849,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/PCWLLOFUHNYYRG-UHFFFAOYSA-N/PCWLLOFUHNYYRG-UHFFFAOYSA-N_qjcD7n_to_hippo.pkl.gz,1082.0,461.0
,,,,,,x1071_0A-x1083_0A_304-0-R,20240926,Scaffold could not be minimised.,ScaffoldPlacementError,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1083_0A,UBNAPXKYUYPLPA-UHFFFAOYSA-N,713,,,,CCC(NC(=O)OC(C)(C)C)C(=O)N1CCC(NC(=O)C2CCCCC2)CC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1083_0A_apo-desolv.pdb,0006,,,
O=S(=O)(Cl)c1ccc2c(c1)OCO2,NC1(c2cccnc2)CCC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1140_0A-x2099_0A_458-P,20240927,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1140_0A,D68EV3CPROA-x2099_0A,MUHVRWXLIRQJPR-UHFFFAOYSA-N,229,,,7C3x6V,O=S(=O)(NC1(c2cccnc2)CCC1)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x2099_0A_apo-desolv.pdb,0050,,,
,,,,,,x1020_0A-x1083_0A_239-P,20240925,Scaffold could not be minimised.,ScaffoldPlacementError,D68EV3CPROA-x1020_0A,D68EV3CPROA-x1083_0A,LKPWKMHROCUQKW-UHFFFAOYSA-N,426,,,,CC(C)C(O)C(=O)N1CCC(NC(=O)CCN2CCCCC2)CC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1020_0A_apo-desolv.pdb,2142,,,
FC(F)(F)c1ccc2nnc(S)n2c1,CC(Cl)C(=O)Nc1ccc2c(c1)OCO2,Nucleophilic_substitution_with_thiol,,,,x1594_0A-x2021_0A_152-P,20240925,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,LFVJYKAMLJVUBN-UHFFFAOYSA-N,124,20.0,7.0,Swj3jt,CC(Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1909,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/LFVJYKAMLJVUBN-UHFFFAOYSA-N/LFVJYKAMLJVUBN-UHFFFAOYSA-N_Swj3jt_to_hippo.pkl.gz,20.0,10.0
O=C(O)c1nnn2ccccc12,Nc1c(F)ccc2c1OCO2,Amidation,,,,x1140_0A-x1594_0A_83-I,20240926,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1594_0A,JEYRCLTVHJVUJU-UHFFFAOYSA-N,468,1.0,0.0,mwurus,O=C(Nc1c(F)ccc2c1OCO2)c1nnn2ccccc12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,0017,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/JEYRCLTVHJVUJU-UHFFFAOYSA-N/JEYRCLTVHJVUJU-UHFFFAOYSA-N_mwurus_to_hippo.pkl.gz,1.0,1.0
NCC(=O)N1CCCC1,N#CC1(CS(=O)(=O)Cl)CCCCC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1071_0A-x1083_0A_481-I,20240929,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1083_0A,GUDNNNSUZCISBO-UHFFFAOYSA-N,499,,,9Fri4u,N#CC1(CS(=O)(=O)NCC(=O)N2CCCC2)CCCCC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1083_0A_apo-desolv.pdb,0719,,,
O=C(NCc1ccc2c(c1)OCO2)C1CCCNC1,Clc1nnc2ccccn12,N-nucleophilic_aromatic_substitution,,,,x1594_0A-x2021_0A_142-P,20240927,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,YXQIWQPIQASTDU-UHFFFAOYSA-N,146,72.0,15.0,uprMjw,O=C(NCc1ccc2c(c1)OCO2)C1CCCN(c2nnc3ccccn23)C1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,0105,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/YXQIWQPIQASTDU-UHFFFAOYSA-N/YXQIWQPIQASTDU-UHFFFAOYSA-N_uprMjw_to_hippo.pkl.gz,72.0,36.0
COC(=O)N(C)CC(=O)O,CC(NC(=O)c1ccns1)C1CNC1,Amidation,,,,x1071_0A-x1498_0A_267-2-R,20240926,,,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1498_0A,DGAUABUUBNAFMW-UHFFFAOYSA-N,684,3168.0,146.0,NkjJXk,COC(=O)N(C)CC(=O)N1CC(C(C)NC(=O)c2ccns2)C1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,1733,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/DGAUABUUBNAFMW-UHFFFAOYSA-N/DGAUABUUBNAFMW-UHFFFAOYSA-N_NkjJXk_to_hippo.pkl.gz,3168.0,512.0
O=C(NC1CCNC1)c1ccon1,CN(C)S(=O)(=O)NCC(=O)O,Amidation,,,,x1071_0A-x1498_0A_288-9-R,20240926,,,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1498_0A,JMLOHJZZGYDRFS-UHFFFAOYSA-N,702,26.0,20.0,SRiLnm,CN(C)S(=O)(=O)NCC(=O)N1CCC(NC(=O)c2ccon2)C1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,0053,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/JMLOHJZZGYDRFS-UHFFFAOYSA-N/JMLOHJZZGYDRFS-UHFFFAOYSA-N_SRiLnm_to_hippo.pkl.gz,26.0,9.0
,,,,,,x1498_0A-x1140_0A_482-P,20240925,The reactants do not match the reaction SMARTS in reaction Buchwald-Hartwig_amidation_with_amide-like_nucleophile in mol NC(=O)Nc1ccc2c(c1)OCO2 and Cc1ccc(OS(=O)(=O)C(F)(F)F)nc1.,SMARTSError,D68EV3CPROA-x1498_0A,D68EV3CPROA-x1140_0A,MITSWDZAUHWZLQ-UHFFFAOYSA-N,128,,,,Cc1ccc(NC(=O)Nc2ccc3c(c2)OCO3)nc1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,1909,,,
O=C(O)C=Cc1ccc2c(c1)OCO2,NC1CCN(c2nccn3cnnc23)C1,Amidation,,,,x0147_0A-x2021_0A_18-P,20240930,,,D68EV3CPROA-x0147_0A,D68EV3CPROA-x2021_0A,MSUIVXZJDINSDP-UHFFFAOYSA-N,232,196.0,81.0,7jZ3c3,O=C(C=Cc1ccc2c(c1)OCO2)NC1CCN(c2nccn3cnnc23)C1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x2021_0A_apo-desolv.pdb,0141,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/MSUIVXZJDINSDP-UHFFFAOYSA-N/MSUIVXZJDINSDP-UHFFFAOYSA-N_7jZ3c3_to_hippo.pkl.gz,196.0,82.0
Cc1nnc2ccc(S(=O)(=O)Cl)cn12,CC(C)(C)OC(=O)CNc1ccc2c(c1)OCO2,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1594_0A-x2021_0A_137-P,20240925,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,SSDQKSSLUVZXMN-UHFFFAOYSA-N,48,,,uyro3k,Cc1nnc2ccc(S(=O)(=O)N(CC(=O)OC(C)(C)C)c3ccc4c(c3)OCO4)cn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1831,,,
O=C(O)COc1ccon1,NCc1ccncc1C(F)(F)F,Amidation,,,,x1498_0A-x1052_1A_489-P,20240927,,,D68EV3CPROA-x1498_0A,D68EV3CPROA-x1052_1A,ZMULPMJBXUQCGO-UHFFFAOYSA-N,171,24.0,0.0,PqoHaF,O=C(COc1ccon1)NCc1ccncc1C(F)(F)F,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1052_1A_apo-desolv.pdb,0107,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/ZMULPMJBXUQCGO-UHFFFAOYSA-N/ZMULPMJBXUQCGO-UHFFFAOYSA-N_PqoHaF_to_hippo.pkl.gz,24.0,20.0
Cc1cc(C(=O)Cl)no1,CC(C)(CN)N1CCCCC1,Amide_Schotten-Baumann_with_amine,,,,x1052_1A-x1083_0A_260-P,20240929,,,D68EV3CPROA-x1052_1A,D68EV3CPROA-x1083_0A,SPFXFBPDYHETEE-UHFFFAOYSA-N,373,251.0,0.0,jSyAEm,Cc1cc(C(=O)NCC(C)(C)N2CCCCC2)no1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1052_1A_apo-desolv.pdb,0045,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/SPFXFBPDYHETEE-UHFFFAOYSA-N/SPFXFBPDYHETEE-UHFFFAOYSA-N_jSyAEm_to_hippo.pkl.gz,251.0,153.0
Cc1cc([C:1](=[O:2])[OH:3])no1,CC(C)(CN)N1CCCCC1,Amidation,,,,x1052_1A-x1083_0A_260-P,20240929,,,D68EV3CPROA-x1052_1A,D68EV3CPROA-x1083_0A,SPFXFBPDYHETEE-UHFFFAOYSA-N,373,4027.0,0.0,kQMTQu,Cc1cc(C(=O)NCC(C)(C)N2CCCCC2)no1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1052_1A_apo-desolv.pdb,0045,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/SPFXFBPDYHETEE-UHFFFAOYSA-N/SPFXFBPDYHETEE-UHFFFAOYSA-N_kQMTQu_to_hippo.pkl.gz,4027.0,2312.0
O=S(=O)(Cl)CCC1CC1,NCc1nnc2ccccn12,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1140_0A-x1594_0A_118-P,20240925,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1594_0A,MNZYWEFODCSYTA-UHFFFAOYSA-N,6,,,TFocFT,O=S(=O)(CCC1CC1)NCc1nnc2ccccn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1140_0A_apo-desolv.pdb,1920,,,
O=C(O)C=Cc1ccc2c(c1)OCO2,NCc1cccnc1-c1ccsc1,Amidation,,,,x1498_0A-x1140_0A_476-P,20240925,,,D68EV3CPROA-x1498_0A,D68EV3CPROA-x1140_0A,QNLXPKIJHNSZCC-UHFFFAOYSA-N,130,15.0,1.0,hEbPMU,O=C(C=Cc1ccc2c(c1)OCO2)NCc1cccnc1-c1ccsc1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,1913,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/QNLXPKIJHNSZCC-UHFFFAOYSA-N/QNLXPKIJHNSZCC-UHFFFAOYSA-N_hEbPMU_to_hippo.pkl.gz,15.0,12.0
,,,,,,x1498_0A-x1140_0A_422-P,20240925,No routes found for Nc1ccc(Sc2ccc3c(c2)OCO3)nc1.,NoSynthesisRoute,D68EV3CPROA-x1498_0A,D68EV3CPROA-x1140_0A,MWYAORLJVYRLOU-UHFFFAOYSA-N,262,,,,Nc1ccc(Sc2ccc3c(c2)OCO3)nc1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,2016,,,
O=C(CC1CCCC1)NC1CCNCC1,Clc1nccn2cnnc12,N-nucleophilic_aromatic_substitution,,,,x0147_0A-x1083_0A_341-I,20240930,,,D68EV3CPROA-x0147_0A,D68EV3CPROA-x1083_0A,KGSAWYYAZCRQIA-UHFFFAOYSA-N,566,73.0,0.0,HonnT9,O=C(CC1CCCC1)NC1CCN(c2nccn3cnnc23)CC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x0147_0A_apo-desolv.pdb,0137,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/KGSAWYYAZCRQIA-UHFFFAOYSA-N/KGSAWYYAZCRQIA-UHFFFAOYSA-N_HonnT9_to_hippo.pkl.gz,73.0,73.0
NCC(=O)N1CCCC1,CC1COC(CS(=O)(=O)Cl)C1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1071_0A-x1083_0A_450-I,20240929,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1083_0A,VIEDKQZSUQKHEE-UHFFFAOYSA-N,631,,,fowLHb,CC1COC(CS(=O)(=O)NCC(=O)N2CCCC2)C1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1083_0A_apo-desolv.pdb,0014,,,
NCc1nnc2ccccn12,Cc1ccc(CCS(=O)(=O)Cl)cc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1140_0A-x1594_0A_117-P,20240925,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1594_0A,MAYFCUDIGYMGSZ-UHFFFAOYSA-N,1,,,Dc9Dy5,Cc1ccc(CCS(=O)(=O)NCc2nnc3ccccn23)cc1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1140_0A_apo-desolv.pdb,1812,,,
NCC(=O)C1CCC1,COC1(CS(=O)(=O)F)CCOCC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,x1071_0A-x1083_0A_468-I,20240929,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1083_0A,IKKMKZWWRAVFEK-UHFFFAOYSA-N,473,,,NGGeN5,COC1(CS(=O)(=O)NCC(=O)C2CCC2)CCOCC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1083_0A_apo-desolv.pdb,0726,,,
c1cc2c(cc1OCC1CO1)OCO2,CCNCc1ccccn1,Epoxide_+_amine_coupling,,,,x1140_0A-x1498_0A_431-P,20240926,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1498_0A,DPOJPJGGJGZVKJ-UHFFFAOYSA-N,251,2240.0,1392.0,m2fcgB,CCN(Cc1ccccn1)CC(O)COc1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,0242,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/DPOJPJGGJGZVKJ-UHFFFAOYSA-N/DPOJPJGGJGZVKJ-UHFFFAOYSA-N_m2fcgB_to_hippo.pkl.gz,2240.0,789.0
NCCC(=O)N1CCCCC1,Cc1cc(CCC(=O)O)no1,Amidation,,,,x1052_1A-x1083_0A_223-P,20240926,,,D68EV3CPROA-x1052_1A,D68EV3CPROA-x1083_0A,QGCPZGHIZSJREL-UHFFFAOYSA-N,237,527.0,0.0,2jGo6F,Cc1cc(CCC(=O)NCCC(=O)N2CCCCC2)no1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1052_1A_apo-desolv.pdb,0057,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/QGCPZGHIZSJREL-UHFFFAOYSA-N/QGCPZGHIZSJREL-UHFFFAOYSA-N_2jGo6F_to_hippo.pkl.gz,527.0,189.0
,,,,,,x1594_0A-x1919_0A_110-P,20240925,No attachment points found for reaction N-Bn_deprotection,ReactionError,D68EV3CPROA-x1594_0A,D68EV3CPROA-x1919_0A,LQIMEURQJCHSLL-UHFFFAOYSA-N,205,,,,CCc1nnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCO4)cn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1948,,,
